,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000016,Havering,199.3,7.9,208.6,6.1,180.5,7.5,182.9,6.5,181.6,6.2,190.1,5.1,214.5,4.1,234.5,6.5,356.6,6.9,357.5,8.0,374.1,6.2,404.8,8.8,410.8,6.0,414.9,7.3,419.3,7.1,420.7,7.1,440.7,6.8,426.0,6.3,419.0,7.3,472.2,5.3,443.0,7.4,467.6,6.5,529.1,5.8
E09000017,Hillingdon,357.3,3.7,380.6,4.2,362.4,4.0,378.2,4.3,412.1,4.1,402.9,3.5,436.9,3.6,472.4,3.9,494.7,3.6,459.3,3.3,524.7,3.3,531.3,3.3,535.4,3.0,559.8,2.9,538.8,3.1,536.8,3.3,572.8,3.2,545.1,3.1,550.9,3.7,528.6,3.9,536.7,3.8,532.9,3.4,545.3,3.3
E09000018,Hounslow,348.7,5.0,353.3,4.1,375.0,3.4,400.7,3.4,396.1,4.8,424.3,5.1,441.5,4.4,445.8,4.9,468.1,4.3,445.8,4.4,479.1,4.9,472.5,4.6,524.8,4.6,537.5,3.6,536.5,4.4,520.4,3.5,501.1,3.8,534.4,4.1,579.8,3.6,592.8,4.7,575.5,4.7,574.9,5.1,587.2,4.7
E09000019,Islington,403.9,3.7,410.0,3.4,452.0,3.2,489.1,2.6,503.8,3.7,585.6,3.3,583.8,2.7,529.3,2.8,527.9,3.5,574.5,2.7,587.5,3.3,616.0,3.7,627.5,3.5,597.9,3.0,630.6,3.0,634.2,2.6,649.5,2.5,615.2,2.5,626.1,2.5,677.5,2.8,672.9,3.0,672.0,3.1,699.4,3.1
E09000020,Kensington and Chelsea,319.7,4.7,357.7,4.7,358.6,5.2,398.4,5.1,413.1,5.1,442.9,5.3,434.7,6.1,422.4,5.6,416.7,4.2,416.9,4.6,455.0,5.0,487.3,4.1,491.5,3.9,503.4,4.7,496.5,3.8,518.1,4.5,498.1,3.5,479.1,5.0,519.3,3.8,483.6,4.2,539.5,3.5,546.7,4.4,560.8,4.1
E09000021,Kingston upon Thames,289.5,7.7,324.4,7.4,305.5,6.7,327.1,6.9,341.4,5.9,352.5,5.4,373.0,7.0,383.5,6.8,357.5,7.0,412.1,4.6,413.0,7.5,401.8,6.7,440.9,6.0,440.6,5.3,440.7,6.0,459.0,6.3,457.9,6.7,450.2,5.3,440.9,5.3,486.1,5.0,486.0,4.5,483.4,4.6,544.8,4.7
E09000022,Lambeth,380.0,4.1,402.6,4.6,415.3,4.7,424.9,4.3,441.4,3.8,433.9,4.3,449.9,4.3,479.2,3.7,471.1,4.0,503.6,3.6,525.2,3.6,536.6,4.5,570.8,4.0,577.9,4.2,586.5,3.7,597.8,3.5,587.1,4.0,601.8,3.7,586.9,3.4,574.9,3.9,605.0,3.8,586.3,3.7,595.1,4.1
E09000023,Lewisham,310.0,6.2,300.0,8.2,345.0,7.3,356.6,7.7,353.3,6.0,363.2,6.1,368.9,7.4,397.9,8.2,391.3,7.4,409.5,7.5,419.6,8.9,416.6,9.3,484.1,7.1,456.4,6.1,429.7,5.9,429.8,8.5,466.2,7.8,446.2,6.9,467.8,6.0,490.6,5.8,487.1,5.4,479.1,5.8,507.8,5.9
E09000024,Merton,268.9,8.3,326.0,5.5,326.2,5.4,326.2,7.0,350.8,6.2,333.8,6.3,342.9,5.8,373.6,5.9,404.7,6.4,380.5,5.9,391.8,8.1,364.2,7.0,370.4,7.7,443.3,7.1,436.8,5.7,460.0,5.1,445.8,6.0,441.7,5.4,449.4,5.7,467.6,4.8,478.8,5.5,464.2,6.4,466.5,5.3
E09000025,Newham,324.8,7.4,332.3,5.2,321.8,5.4,361.0,6.1,366.9,6.2,375.3,5.3,408.6,6.7,447.3,7.6,448.5,6.3,430.5,9.1,450.3,7.8,473.7,5.8,498.2,5.5,505.2,7.0,466.0,5.7,454.7,6.3,452.8,6.5,444.5,5.5,449.7,5.6,454.1,5.2,451.2,4.9,464.8,4.1,510.5,5.8
E09000026,Redbridge,272.7,7.3,271.6,7.4,293.5,6.8,306.8,7.4,326.4,8.5,335.1,8.3,339.6,7.5,337.8,9.3,361.6,9.3,392.0,7.9,434.9,9.0,437.8,8.5,438.5,9.4,413.3,8.2,437.2,8.2,390.5,8.7,439.2,7.9,435.4,6.6,433.7,6.5,444.0,6.2,359.3,11.0,380.2,9.7,421.6,6.0
E09000027,Richmond upon Thames,305.9,7.2,317.8,8.1,362.0,5.9,364.8,5.9,357.4,6.9,355.0,7.3,385.6,7.2,429.8,7.5,421.6,5.9,421.9,7.9,445.5,7.1,479.7,8.3,469.1,7.0,491.8,6.5,461.1,7.2,479.1,7.2,479.1,6.4,460.0,5.5,489.5,6.1,504.2,4.8,503.5,6.2,510.3,6.7,524.4,7.1
E09000028,Southwark,378.5,3.8,384.6,3.5,399.3,4.0,436.0,4.4,541.3,3.3,564.4,2.8,573.3,3.0,519.4,3.7,520.0,3.7,544.8,3.6,547.5,2.8,552.5,3.2,570.0,3.8,585.3,2.7,593.2,3.7,609.8,3.2,607.0,2.8,605.8,2.8,644.3,2.3,633.1,3.4,642.9,2.8,686.3,2.9,684.8,3.4
E09000029,Sutton,335.5,7.5,304.0,8.8,316.2,9.6,322.3,8.3,348.2,5.7,375.0,6.7,402.9,6.1,396.0,5.5,375.2,6.1,405.3,5.7,436.3,5.4,417.8,5.1,402.8,4.8,404.0,5.6,408.2,5.5,422.3,5.3,460.7,5.8,398.6,4.9,436.2,5.5,424.2,4.7,445.1,6.3,414.4,6.2,499.6,7.8
E09000030,Tower Hamlets,425.0,3.5,454.7,3.9,482.6,3.8,509.4,3.9,558.6,3.9,539.4,3.6,614.2,3.6,671.5,3.2,670.8,3.0,677.9,2.5,730.0,3.1,766.6,3.5,771.1,3.1,766.6,2.8,798.4,3.0,774.3,2.8,824.1,3.2,817.4,3.2,771.5,3.9,750.4,4.2,811.5,3.5,814.1,3.8,787.1,2.6
E09000031,Waltham Forest,273.0,7.6,303.6,7.6,321.3,6.3,317.8,7.2,328.7,8.9,338.2,8.1,358.8,11.0,351.9,9.7,335.3,9.4,375.0,6.3,408.7,9.5,403.8,9.6,428.4,9.1,421.0,9.7,427.1,7.8,440.5,8.9,380.3,8.6,363.0,7.5,383.3,8.3,386.7,8.1,431.6,7.8,453.3,8.4,481.4,7.4
E09000032,Wandsworth,322.5,5.3,342.2,4.2,351.0,5.0,383.9,4.5,380.6,4.8,402.3,4.9,432.8,4.4,441.4,4.5,441.6,4.5,449.6,4.8,469.6,5.2,479.0,6.0,498.3,6.2,507.4,5.3,500.5,5.3,465.3,4.4,476.2,4.4,483.7,5.9,505.4,4.6,498.3,5.1,548.4,4.1,552.8,4.6,571.1,4.4
E09000033,Westminster,404.9,2.3,410.9,2.1,431.7,2.4,451.1,2.0,479.9,2.0,508.6,1.9,499.0,2.0,537.4,2.0,541.8,2.1,548.0,1.9,584.6,2.4,613.3,2.3,613.3,1.9,630.5,2.2,617.6,1.7,616.1,1.5,613.3,1.9,620.8,1.8,633.7,2.1,645.0,1.7,690.1,1.9,726.0,1.7,728.3,1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,247.5,1.6,248.4,1.6,255.9,1.7,268.9,1.8,275.4,1.7,282.9,1.7,289.7,1.4,300.9,1.8,311.4,1.4,320.8,1.5,334.7,1.4,346.4,1.3,359.7,1.2,367.7,1.4,366.6,1.3,372.1,1.2,378.7,1.6,389.5,1.4,395.2,1.4,403.1,1.6,416.6,1.5,418.1,1.3,437.0,1.6
E12000002,North West,259.3,1.0,266.4,1.0,274.0,1.0,284.0,1.0,291.5,1.0,307.5,1.0,314.6,0.9,328.1,1.0,332.0,0.9,343.9,0.8,359.7,0.9,371.7,1.0,372.6,0.9,377.4,0.9,370.8,0.7,378.0,0.8,386.7,0.7,392.7,0.9,399.6,0.9,414.5,0.8,422.7,0.8,434.3,0.8,454.6,0.6
E12000003,Yorkshire and The Humber,243.6,1.2,254.8,1.0,268.2,1.0,276.5,1.1,287.7,0.9,299.7,1.0,311.1,1.0,321.8,1.0,324.8,1.0,333.1,1.1,346.7,1.0,360.9,1.1,364.1,0.8,375.2,1.0,369.7,0.9,377.5,1.1,383.3,1.1,385.0,0.9,390.9,1.1,402.4,1.0,408.5,0.9,422.3,0.9,442.3,0.9
E12000004,East Midlands,254.0,1.3,260.6,1.3,268.7,1.1,274.7,1.3,287.9,1.3,302.9,1.1,314.6,1.1,320.9,1.3,327.7,1.2,342.4,1.0,346.9,1.1,365.5,1.3,375.9,1.1,379.6,1.1,373.7,1.1,378.9,1.0,383.5,1.0,387.4,1.0,388.1,1.0,399.1,1.0,409.0,1.0,416.5,1.0,440.8,1.1
E12000005,West Midlands,257.2,0.9,270.4,1.1,277.2,1.1,286.9,1.0,300.7,1.0,308.5,1.0,317.3,1.0,325.8,1.0,330.6,0.9,345.0,0.9,351.4,1.1,362.2,1.1,373.6,1.0,376.7,1.0,370.0,1.1,378.8,0.9,391.4,1.0,385.8,0.9,401.4,0.9,413.2,1.0,424.2,0.8,439.4,0.9,458.0,0.8
E12000006,East,268.7,1.0,280.2,1.1,288.5,1.0,300.4,1.2,313.0,1.1,318.9,1.1,332.7,1.0,341.3,1.0,344.5,1.1,355.3,1.0,362.2,1.2,375.4,1.1,385.0,0.9,389.8,1.0,387.4,0.8,388.4,0.9,404.6,0.9,400.4,1.0,402.5,1.1,421.6,0.9,432.2,0.9,449.0,1.0,464.1,0.9
E12000007,London,357.0,0.6,370.4,0.6,383.9,0.6,401.3,0.7,422.1,0.7,437.1,0.7,460.7,0.6,476.0,0.6,487.8,0.7,498.3,0.6,517.5,0.7,537.6,0.6,551.4,0.6,564.3,0.6,562.6,0.7,572.3,0.5,568.1,0.7,565.4,0.8,574.1,0.4,578.7,0.5,597.7,0.6,617.7,0.5,633.9,0.6
