code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E09000033,Westminster,"17,562","18,926","19,934","20,872","21,333","22,986","23,375","23,899","25,294","25,584","26,396","26,604","26,254","27,080","26,385","27,340","27,314","27,752","29,136","30,000","30,719"
,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"11,736","12,663","12,867","13,174","13,554","14,020","14,661","14,903","15,441","16,105","16,779","16,941","17,129","17,787","17,740","18,223","18,496","18,866","19,451","19,544","20,356"
E12000002,North West,"12,200","12,856","13,389","13,860","14,289","14,894","15,517","15,581","16,444","17,098","17,380","17,379","17,483","17,785","18,134","18,207","18,489","19,003","19,526","19,963","20,609"
E12000003,Yorkshire and The Humber,"12,012","12,787","13,162","13,725","14,328","14,865","15,508","15,481","16,124","16,832","17,325","17,439","17,444","17,806","18,128","18,087","18,378","18,834","19,209","19,793","20,541"
E12000004,East Midlands,"11,961","12,749","13,288","13,818","14,412","14,814","15,329","15,668","16,066","16,905","17,512","17,588","17,446","17,852","18,094","18,155","18,045","18,690","18,968","19,581","20,508"
E12000005,West Midlands,"12,332","13,044","13,618","13,901","14,456","15,045","15,571","15,973","16,333","17,010","17,147","17,095","17,122","17,707","18,195","17,971","18,480","19,126","19,453","20,080","20,955"
E12000006,East,"13,086","13,859","14,439","14,965","15,587","16,044","16,489","16,805","17,094","17,830","18,251","18,299","18,507","18,881","19,190","19,324","19,461","20,189","20,338","21,091","22,072"
E12000007,London,"16,090","17,362","18,210","18,689","19,759","20,496","21,319","21,817","22,608","23,441","24,399","24,417","24,235","24,547","24,827","24,760","24,865","25,381","26,000","26,930","27,299"
E12000008,South East,"13,608","14,617","15,225","15,789","16,437","16,933","17,280","17,494","18,222","19,061","19,530","19,532","19,493","20,002","20,018","20,213","20,653","21,175","21,678","22,194","23,049"
E12000009,South West,"12,062","12,871","13,360","14,045","14,519","15,132","15,579","15,982","16,548","17,010","17,499","17,667","17,857","18,200","18,491","18,601","19,013","19,500","19,935","20,565","21,099"
,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,-,-,-,-,-,"22,804","23,516","24,049","25,000","25,833","26,801","26,998","26,924","27,300","27,067","27,108","27,284","27,873","28,570","29,884","29,927"
E13000002,Outer London,-,-,-,-,-,"17,711","18,710","19,036","19,572","20,290","20,927","20,868","20,574","20,846","21,354","21,121","21,690","22,000","22,223","22,345","23,465"
,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,"12,852","13,778","14,337","14,852","15,364","15,948","16,486","16,734","17,328","18,078","18,511","18,577","18,603","19,011","19,323","19,390","19,680","20,252","20,651","21,263","22,014"
K02000001,United Kingdom,"12,722","13,577","14,116","14,597","15,100","15,699","16,228","16,508","17,062","17,799","18,241","18,366","18,403","18,827","19,126","19,262","19,572","20,093","20,505","21,144","21,870"
K03000001,Great Britain,"12,783","13,639","14,178","14,648","15,169","15,755","16,285","16,571","17,149","17,882","18,324","18,453","18,467","18,873","19,189","19,307","19,615","20,139","20,570","21,192","21,927"
K04000001,England and Wales,"12,844","13,700","14,265","14,742","15,260","15,866","16,388","16,628","17,211","17,951","18,379","18,477","18,506","18,904","19,202","19,289","19,574","20,130","20,554","21,157","21,941"
N92000002,Northern Ireland,"10,995","11,687","12,311","12,960","13,273","14,000","14,431","14,933","15,206","15,870","16,287","16,332","16,669","17,125","17,355","17,514","18,285","18,935","18,958","19,718","20,504"
S92000003,Scotland,"12,211","13,055","13,482","13,841","14,310","14,796","15,454","16,078","16,525","17,382","17,942","18,181","18,070","18,557","19,035","19,432","19,973","20,196","20,733","21,518","21,808"
W92000004,Wales,"11,751","12,567","13,045","13,188","13,751","14,533","14,777","15,143","15,557","16,043","16,539","16,931","17,098","17,231","17,572","17,678","18,194","18,544","19,124","19,690","20,447"
